date,annee,mois,trimestre,mois_label,produit,categorie,type_chimique,fournisseur,quantite_kg,prix_litre_eur,cout_total_eur,ph,ph_neutre,cov_g_par_l,charge_cov_g,dbo5_mg_par_l,biodegradabilite_pct,lc50_daphnie_mg_par_l,dose_utilisation_ml_par_l,score_env,segment_risque,ratio_cout_score,est_eco,ecolabel_eu,conforme_reach,nordic_swan
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,ChemPro,113.5,16.16,1834.16,6.5,True,115.16,13070.66,300.3,32.6,10.0,20.1,3.35,Risque élevé,4.824,False,False,False,False
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,IndustraNett,141.0,18.56,2616.96,8.7,False,130.27,18368.07,483.8,46.3,10.2,73.2,3.19,Risque élevé,5.818,False,False,False,False
2021-01-01,2021,1,1,2021-01,Mousse écologique certifiée,nettoyant multi,biosourcé,IndustraNett,154.9,9.02,1397.2,8.0,True,0.55,85.2,831.3,81.4,286.3,25.9,7.84,Faible risque,1.151,True,True,True,True
2021-01-01,2021,1,1,2021-01,Cire sol industrielle,entretien sol,solvant,ChemPro,471.7,35.86,16915.16,6.9,True,97.13,45816.22,337.9,40.7,12.1,32.8,3.97,Risque élevé,9.033,False,False,True,False
2021-01-01,2021,1,1,2021-01,Dégraissant solvant chloré,dégraissant,solvant,VerteChimie,258.6,33.27,8603.62,5.8,False,120.63,31194.92,383.5,23.0,9.6,11.4,2.77,Risque élevé,12.011,False,False,True,False
2021-01-01,2021,1,1,2021-01,Nettoyant inox écologique,nettoyant inox,biosourcé,IndustraNett,52.1,7.73,402.73,7.7,True,0.32,16.67,798.1,83.0,356.1,16.5,8.41,Faible risque,0.919,True,False,True,True
2021-01-01,2021,1,1,2021-01,Emulsion sol biosourcée,entretien sol,biosourcé,ChemPro,59.7,49.21,2937.84,7.8,True,0.35,20.9,718.4,98.6,101.8,70.1,7.32,Risque modéré,6.723,True,True,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant acide biosourcé,détartrant,biosourcé,VerteChimie,469.6,23.36,10969.86,8.1,True,0.43,201.93,882.5,85.7,388.6,48.6,8.56,Faible risque,2.729,True,False,True,True
2021-02-01,2021,2,1,2021-02,Antirouille process,traitement surface,acide,ChemPro,331.8,9.87,3274.87,3.5,False,3.95,1310.61,124.5,39.8,61.5,23.1,4.43,Risque élevé,2.228,False,False,True,False
2021-02-01,2021,2,1,2021-02,Décapant sol enzymatique,décapant,enzymatique,ChemPro,72.6,42.04,3052.1,7.3,True,0.53,38.48,587.8,83.9,447.1,58.1,9.1,Faible risque,4.62,True,True,True,True
2021-02-01,2021,2,1,2021-02,Mousse nettoyante toutes surfaces,nettoyant multi,tensioactif,ChemPro,126.5,12.34,1561.01,5.4,False,6.32,799.48,444.8,44.5,85.2,17.8,5.27,Risque modéré,2.342,False,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,VerteChimie,396.4,21.1,8364.04,7.7,True,0.37,146.67,797.6,90.0,453.0,26.7,9.2,Faible risque,2.293,True,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant inox écologique,nettoyant inox,biosourcé,EcoClean,293.2,61.26,17961.43,7.4,True,0.38,111.42,646.9,76.6,240.6,78.5,7.61,Faible risque,8.05,True,False,True,False
2021-02-01,2021,2,1,2021-02,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,IndustraNett,322.4,19.88,6409.31,7.5,True,21.9,7060.56,290.3,41.9,18.0,44.1,4.92,Risque élevé,4.041,False,False,True,False
2021-02-01,2021,2,1,2021-02,Nettoyant HP vert dilution forte,nettoyant HP,biosourcé,ChemPro,443.6,22.26,9874.54,7.2,True,0.5,221.8,835.5,76.6,342.6,58.5,8.29,Faible risque,2.685,True,True,True,True
2021-02-01,2021,2,1,2021-02,Emulsion sol biosourcée,entretien sol,biosourcé,ProHygiène,14.1,53.18,749.84,7.8,True,0.53,7.47,849.2,78.3,194.8,22.1,7.26,Risque modéré,7.325,True,True,True,True
2021-02-01,2021,2,1,2021-02,Désodorisant industriel masquant,désodorisant,synthétique,VerteChimie,41.0,27.48,1126.68,9.8,False,8.1,332.1,384.4,42.1,49.7,11.0,4.59,Risque élevé,5.987,False,False,True,False
2021-03-01,2021,3,1,2021-03,Nettoyant acide détartrant,détartrant,acide,ProHygiène,490.7,15.58,7645.11,3.1,False,6.69,3282.78,132.9,46.0,103.5,33.3,4.71,Risque élevé,3.308,False,False,True,False
2021-03-01,2021,3,1,2021-03,Décapant sol industriel,décapant,solvant,VerteChimie,339.8,29.33,9966.33,8.9,False,100.38,34109.12,221.9,60.2,13.1,49.0,3.96,Risque élevé,7.407,False,False,False,False
2021-04-01,2021,4,2,2021-04,Nettoyant inox écologique,nettoyant inox,biosourcé,ProHygiène,50.3,16.85,847.56,7.9,True,0.65,32.7,1027.3,94.6,331.5,14.0,8.54,Faible risque,1.973,True,False,True,True
2021-04-01,2021,4,2,2021-04,Emulsion sol biosourcée,entretien sol,biosourcé,ChemPro,219.8,15.99,3514.6,7.9,True,0.75,164.85,641.2,98.6,446.3,60.2,9.35,Faible risque,1.71,True,True,True,True
2021-04-01,2021,4,2,2021-04,Nettoyant inox écologique,nettoyant inox,biosourcé,ProHygiène,232.0,20.97,4865.04,7.2,True,0.47,109.04,806.6,84.3,350.4,49.2,8.56,Faible risque,2.45,True,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,IndustraNett,393.7,42.64,16787.37,2.3,False,4.97,1956.69,163.5,36.8,64.2,6.4,3.98,Risque élevé,10.714,False,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,ChemPro,165.2,37.01,6114.05,3.1,False,6.71,1108.49,95.6,20.3,99.7,33.1,3.92,Risque élevé,9.441,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,IndustraNett,183.4,6.99,1281.97,9.0,False,12.83,2353.02,234.5,44.6,27.6,13.0,4.72,Risque élevé,1.481,False,False,True,False
2021-04-01,2021,4,2,2021-04,Désinfectant quaternaire QAC-50,désinfectant,ammonium quaternaire,ChemPro,114.7,44.05,5052.54,8.1,True,13.82,1585.15,230.4,26.0,17.2,69.4,4.36,Risque élevé,10.103,False,False,True,False
2021-04-01,2021,4,2,2021-04,Antirouille process,traitement surface,acide,ProHygiène,319.1,17.66,5635.31,2.0,False,7.84,2501.74,116.9,24.2,58.9,16.6,3.44,Risque élevé,5.134,False,False,True,False
